start station id,name,latitude,longitude,edge,group,groupdes
233,Joralemon St & Adams St,40.69246277,-73.98963911,2,16,"Brooklyn - Soho, Lower East Side"
282,Kent Ave & S 11 St,40.70827295,-73.96834101,15,16,"Brooklyn - Soho, Lower East Side"
364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,7,16,"Brooklyn - Soho, Lower East Side"
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,2,16,"Brooklyn - Soho, Lower East Side"
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,2,16,"Brooklyn - Soho, Lower East Side"
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,1,16,"Brooklyn - Soho, Lower East Side"
396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,11,16,"Brooklyn - Soho, Lower East Side"
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,30,16,"Brooklyn - Soho, Lower East Side"
437,Macon St & Nostrand Ave,40.68098339,-73.95004798,16,16,"Brooklyn - Soho, Lower East Side"
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,5,16,"Brooklyn - Soho, Lower East Side"
344,Monroe St & Bedford Ave,40.6851443,-73.95380904,2,16,"Brooklyn - Soho, Lower East Side"
289,Monroe St & Classon Ave,40.6845683,-73.95881081,1,16,"Brooklyn - Soho, Lower East Side"
251,Mott St & Prince St,40.72317958,-73.99480012,8,16,"Brooklyn - Soho, Lower East Side"
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,1,16,"Brooklyn - Soho, Lower East Side"
144,Nassau St & Navy St,40.69839895,-73.98068914,38,16,"Brooklyn - Soho, Lower East Side"
217,Old Fulton St,40.70277159,-73.99383605,1,16,"Brooklyn - Soho, Lower East Side"
119,Park Ave & St Edwards St,40.69608941,-73.97803415,4,16,"Brooklyn - Soho, Lower East Side"
319,Park Pl & Church St,40.71336124,-74.00937622,15,16,"Brooklyn - Soho, Lower East Side"
414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,3,16,"Brooklyn - Soho, Lower East Side"
2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,4,16,"Brooklyn - Soho, Lower East Side"
473,Rivington St & Chrystie St,40.72110063,-73.9919254,4,16,"Brooklyn - Soho, Lower East Side"
481,S 3 St & Bedford Ave,40.71260486,-73.96264403,4,16,"Brooklyn - Soho, Lower East Side"
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,4,16,"Brooklyn - Soho, Lower East Side"
532,S 5 Pl & S 4 St,40.710451,-73.960876,3,16,"Brooklyn - Soho, Lower East Side"
353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,5,16,"Brooklyn - Soho, Lower East Side"
2001,Sands St & Navy St,40.699773,-73.979927,2,16,"Brooklyn - Soho, Lower East Side"
265,Stanton St & Chrystie St,40.72229346,-73.99147535,1,16,"Brooklyn - Soho, Lower East Side"
310,State St & Smith St,40.68926942,-73.98912867,1,16,"Brooklyn - Soho, Lower East Side"
275,Washington Ave & Greene Ave,40.68650065,-73.96563307,1,16,"Brooklyn - Soho, Lower East Side"
313,Washington Ave & Park Ave,40.69610226,-73.96751037,1,16,"Brooklyn - Soho, Lower East Side"
262,Washington Park,40.69178232,-73.97372989,9,16,"Brooklyn - Soho, Lower East Side"
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,7,16,"Brooklyn - Soho, Lower East Side"
373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,1,16,"Brooklyn - Soho, Lower East Side"
239,Willoughby St & Fleet St,40.69196566,-73.9813018,7,16,"Brooklyn - Soho, Lower East Side"
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,11,16,"Brooklyn - Soho, Lower East Side"
430,York St & Jay St,40.7014851,-73.98656928,1,16,"Brooklyn - Soho, Lower East Side"
285,Broadway & E 14 St,40.73454567,-73.99074142,38,17,East Village - Lower East Side
2010,Grand St & Greene St,40.72165481,-74.00234737,15,17,East Village - Lower East Side
410,Suffolk St & Stanton St,40.72066442,-73.98517977,74,17,East Village - Lower East Side
519,E 42 St & Vanderbilt Ave,40.752416,-73.97837,157,18,Midtown East - Financial District
316,Fulton St & William St,40.70955958,-74.00653609,91,18,Midtown East - Financial District
528,2 Ave & E 31 St,40.74290902,-73.97706058,52,19,Midtown East - TriBeca
426,West St & Chambers St,40.71754834,-74.01322069,90,19,Midtown East - TriBeca
326,E 11 St & 1 Ave,40.72953837,-73.98426726,32,20,East Village - Greenwich Village
284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,46,20,East Village - Greenwich Village
339,Avenue D & E 12 St,40.72580614,-73.97422494,19,21,"East Village, Lower East Side - Financial District"
302,Avenue D & E 3 St,40.72082834,-73.97793172,5,21,"East Village, Lower East Side - Financial District"
266,Avenue D & E 8 St,40.72368361,-73.97574813,3,21,"East Village, Lower East Side - Financial District"
356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,1,21,"East Village, Lower East Side - Financial District"
260,Broad St & Bridge St,40.70365182,-74.01167797,13,21,"East Village, Lower East Side - Financial District"
427,Bus Slip & State St,40.701907,-74.013942,21,21,"East Village, Lower East Side - Financial District"
2009,Catherine St & Monroe St,40.71117444,-73.99682619,54,21,"East Village, Lower East Side - Financial District"
332,Cherry St,40.71219906,-73.97948148,8,21,"East Village, Lower East Side - Financial District"
358,Christopher St & Greenwich St,40.73291553,-74.00711384,1,21,"East Village, Lower East Side - Financial District"
350,Clinton St & Grand St,40.71559509,-73.9870295,86,21,"East Village, Lower East Side - Financial District"
342,Columbia St & Rivington St,40.71739973,-73.98016555,1,21,"East Village, Lower East Side - Financial District"
297,E 15 St & 3 Ave,40.734232,-73.986923,91,21,"East Village, Lower East Side - Financial District"
150,E 2 St & Avenue C,40.7208736,-73.98085795,20,21,"East Village, Lower East Side - Financial District"
507,E 25 St & 2 Ave,40.73912601,-73.97973776,64,21,"East Village, Lower East Side - Financial District"
393,E 5 St & Avenue C,40.72299208,-73.97995466,11,21,"East Village, Lower East Side - Financial District"
411,E 6 St & Avenue D,40.72228087,-73.97668709,15,21,"East Village, Lower East Side - Financial District"
394,E 9 St & Avenue C,40.72521311,-73.97768752,4,21,"East Village, Lower East Side - Financial District"
79,Franklin St & W Broadway,40.71911552,-74.00666661,20,21,"East Village, Lower East Side - Financial District"
351,Front St & Maiden Ln,40.70530954,-74.00612572,46,21,"East Village, Lower East Side - Financial District"
502,Henry St & Grand St,40.714215,-73.981346,3,21,"East Village, Lower East Side - Financial District"
2008,Little West St & 1 Pl,40.70569254,-74.01677685,5,21,"East Village, Lower East Side - Financial District"
340,Madison St & Clinton St,40.71269042,-73.98776323,2,21,"East Village, Lower East Side - Financial District"
291,Madison St & Montgomery St,40.713126,-73.984844,1,21,"East Village, Lower East Side - Financial District"
408,Market St & Cherry St,40.71076228,-73.99400398,9,21,"East Village, Lower East Side - Financial District"
311,Norfolk St & Broome St,40.7172274,-73.98802084,2,21,"East Village, Lower East Side - Financial District"
337,Old Slip & Front St,40.7037992,-74.00838676,3,21,"East Village, Lower East Side - Financial District"
279,Peck Slip & Front Street,40.707873,-74.00167,4,21,"East Village, Lower East Side - Financial District"
295,Pike St & E Broadway,40.71406667,-73.99293911,4,21,"East Village, Lower East Side - Financial District"
